cs_name,crop,harvest
CS1,akgs,4
CS1,barl,1
CS1,csil,1
CS1,fesc_cs1,4
CS1,fesc,4
CS1,frsd,1
CS1,orcd,1
CS1,radi,1
CS1,rnge_test,1
CS1,sgbt,1
CS1,wbar,1
CS1,wira,1
CS1,wiry,1
CS1,wwht,1
CS10,barl,1
CS10,cngr,2
CS10,oats,1
CS10,pota,1
CS10,swht,1
CS10,wwht,1
CS11,alfa,3
CS11,canp140,1
CS11,corn120,1
CS11,fesc,3
CS11,orcd,1
CS11,rnge_test,1
CS11,sunf100,1
CS11,wbar120,1
CS11,wwht160,1
CS12,barl,1
CS12,clvr,3
CS12,csil,1
CS12,fpea,1
CS12,oats,1
CS12,popy,1
CS12,pota,1
CS12,swht,1
CS12,trit,1
CS12,wbar,1
CS12,wira,1
CS12,wwht,1
CS2,canp,1
CS2,corn,1
CS2,csil,1
CS2,orcd,1
CS2,peas,1
CS2,pota,1
CS2,ryeg,4
CS2,sgbt,1
CS2,sunf,1
CS2,swht,1
CS2,tobc,1
CS2,trit,1
CS2,wbar,1
CS2,wwht,1
CS3,alfa,3
CS3,canp140,1
CS3,corn120,1
CS3,corn130,1
CS3,fesc,3
CS3,orcd,1
CS3,radi,1
CS3,rnge_test,1
CS3,sunf100,1
CS3,wbar120,1
CS3,wwht160,1
CS4,alfa,3
CS4,barl,1
CS4,canp,1
CS4,corn,1
CS4,crrt,1
CS4,fesc,4
CS4,lett,4
CS4,mint,2
CS4,onio,1
CS4,orcd,1
CS4,sgbt,1
CS4,trit,1
CS4,wwht,1
CS7,alfa,3
CS7,barl,1
CS7,csil,1
CS7,fesc,5
CS7,fesc1,3
CS7,fesc4,3
CS7,oats,1
CS7,past,3
CS7,pine,1
CS7,rape,1
CS7,rnge,1
CS7,ryeg,2
CS7,swht,1
CS7,trit,1
CS7,wbar,1
CS7,wwht,1
CS8,alfa,1
CS8,barl,1
CS8,bwht,1
CS8,cana,1
CS8,canp,1
CS8,corn,1
CS8,crrt,1
CS8,grbn,1
CS8,lmix,1
CS8,oats,1
CS8,orcd,1
CS8,peas,1
CS8,pota,1
CS8,rnge_test,1
CS8,scan,1
CS8,sgbt,1
CS8,soyb,1
CS8,strc,1
CS8,swht,1
CS8,vtch,1
CS8,wbar,1
CS8,wpas,1
CS8,wtrc,1
CS8,wwht,1
CS9,alfa,5
CS9,csi1,1
CS9,frst,1
CS9,hay,4
CS9,hayd,4
CS9,mustard,1
CS9,orcd,1
CS9,ryeg,1
CS9,soy1,1
CS9,wwht,1
